src,dst,src_neo4j_id,dst_neo4j_id,rel,edge_type,evidence,props_json
54,410,1690,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,Approximately one third of patients with inferior wall myocardial infarction develop some form of AV block.,"{""evidence_text"": ""Approximately one third of patients with inferior wall myocardial infarction develop some form of AV block."", ""chunk_index"": 0, ""section_title"": ""Review"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
55,409,1691,1704,INDICATES,INDICATES,the upright T wave is actually an inverted T wave,"{""evidence_text"": ""the upright T wave is actually an inverted T wave"", ""chunk_index"": 1, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
56,405,1692,1693,SUPPORTS,SUPPORTS,Accompanying reciprocal ST depression in aVL suggests that the occlusion is in the right coronary artery.,"{""evidence_text"": ""Accompanying reciprocal ST depression in aVL suggests that the occlusion is in the right coronary artery."", ""chunk_index"": 0, ""section_title"": ""Inferior Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
57,410,1694,1705,SUPPORTS,SUPPORTS,In many cases occlusion of the circumflex coronary artery or one of its branches will not be associated with ST segment elevation.,"{""evidence_text"": ""In many cases occlusion of the circumflex coronary artery or one of its branches will not be associated with ST segment elevation."", ""chunk_index"": 0, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
58,380,1695,1626,INDICATES,INDICATES,occlusion of the right coronary artery will often lead to ST segment elevation in the inferior and lateral leads,"{""evidence_text"": ""occlusion of the right coronary artery will often lead to ST segment elevation in the inferior and lateral leads"", ""chunk_index"": 0, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
58,406,1695,1696,INDICATES,INDICATES,Lateral infarction can often be seen in the presence of an inferior wall myocardial infarction,"{""evidence_text"": ""Lateral infarction can often be seen in the presence of an inferior wall myocardial infarction"", ""chunk_index"": 0, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
59,380,1697,1626,INDICATES,INDICATES,occlusion of the circumflex coronary artery will also lead to inferolateral ST segment elevation,"{""evidence_text"": ""occlusion of the circumflex coronary artery will also lead to inferolateral ST segment elevation"", ""chunk_index"": 0, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
60,407,1698,1699,SUPPORTS,SUPPORTS,the presence or absence of matching reciprocal ST segment depression in aVL can still be helpful for differentiating between these two possibilities,"{""evidence_text"": ""the presence or absence of matching reciprocal ST segment depression in aVL can still be helpful for differentiating between these two possibilities"", ""chunk_index"": 0, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
61,411,1703,1706,SUPPORTS,SUPPORTS,Evaluation for the presence of myocardial ischemia or myocardial infarction is one of the most important uses of the ECG.,"{""evidence_text"": ""Evaluation for the presence of myocardial ischemia or myocardial infarction is one of the most important uses of the ECG."", ""chunk_index"": 0, ""section_title"": ""Abstract"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
61,410,1703,1705,INDICATES,INDICATES,Myocardial infarction is associated with several characteristic ECG changes: ... ST segment changes...,"{""evidence_text"": ""Myocardial infarction is associated with several characteristic ECG changes: ... ST segment changes..."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 0}"
61,409,1703,1704,INDICATES,INDICATES,The most important cause for changes in the ST segment is myocardial ischemia and myocardial infarction.,"{""evidence_text"": ""The most important cause for changes in the ST segment is myocardial ischemia and myocardial infarction."", ""chunk_index"": 0, ""section_title"": ""Abstract"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
62,410,1707,1705,INDICATES,INDICATES,This condition is called a myocardial infarction.,"{""evidence_text"": ""This condition is called a myocardial infarction."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Cellular Changes Associated with Acute Myocardial Infarction"", ""paragraph_index"": 0}"
63,409,1708,1704,INDICATES,INDICATES,Myocardial ischemia is usually defined as the early period in which potentially reversible cellular changes are present.,"{""evidence_text"": ""Myocardial ischemia is usually defined as the early period in which potentially reversible cellular changes are present."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Cellular Changes Associated with Acute Myocardial Infarction"", ""paragraph_index"": 0}"
65,412,1711,1713,INDICATES,INDICATES,"The infarction phase occurs when anaerobic metabolism cannot keep up with metabolic need, and irreversible damage and cell death begins.","{""evidence_text"": ""The infarction phase occurs when anaerobic metabolism cannot keep up with metabolic need, and irreversible damage and cell death begins."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Evolution of Myocardial Infarction and Ischemia"", ""paragraph_index"": 0}"
65,413,1711,1714,SUPPORTS,SUPPORTS,The extent of irreversible damage can be attenuated by the presence of collateral blood flow from other coronary artery branches.,"{""evidence_text"": ""The extent of irreversible damage can be attenuated by the presence of collateral blood flow from other coronary artery branches."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Evolution of Myocardial Infarction and Ischemia"", ""paragraph_index"": 0}"
66,410,1715,1705,INDICATES,INDICATES,"The first ECG finding that can be observed during a myocardial infarction is T wave peaking, characterized by prominent T waves with a relatively narrow base.","{""evidence_text"": ""The first ECG finding that can be observed during a myocardial infarction is T wave peaking, characterized by prominent T waves with a relatively narrow base."", ""chunk_index"": 0, ""section_title"": ""T Wave Peaking"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
66,410,1715,1705,SUPPORTS,SUPPORTS,"Electrocardiographic findings associated with myocardial infarction encompass a range of abnormalities, including ST segment elevation, ST segment depression, and T wave peaking.","{""evidence_text"": ""Electrocardiographic findings associated with myocardial infarction encompass a range of abnormalities, including ST segment elevation, ST segment depression, and T wave peaking."", ""chunk_index"": 0, ""section_title"": ""Review"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
66,409,1715,1704,INDICATES,INDICATES,"T wave peaking can be observed during ischemia, activation of K+ channels that are sensitive to reduced amounts of ATP (IKATP) leads to outward flow of K+ and accumulation of K+ in the extracellular spaces of affected myocytes.","{""evidence_text"": ""T wave peaking can be observed during ischemia, activation of K+ channels that are sensitive to reduced amounts of ATP (IKATP) leads to outward flow of K+ and accumulation of K+ in the extracellular spaces of affected myocytes."", ""chunk_index"": 0, ""section_title"": ""T Wave Peaking"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
67,410,1716,1705,INDICATES,INDICATES,The ECG now shows T wave inversion and the development of Q waves in the inferior leads.,"{""evidence_text"": ""The ECG now shows T wave inversion and the development of Q waves in the inferior leads."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""Myocardial Infarction in the Presence of Bundle Branch Block"", ""paragraph_index"": 5}"
67,408,1716,1701,INDICATES,INDICATES,Q waves can develop within the first few minutes/hours of myocardial injury,"{""evidence_text"": ""Q waves can develop within the first few minutes/hours of myocardial injury"", ""chunk_index"": 1, ""section_title"": ""Q Waves"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
67,408,1716,1701,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,Damage to an area produces Q waves in the area because of relative damage to the heart and reduction in depolarization voltages in the affected area compared to normal myocardium not affected by the coronary occlusion.,"{""evidence_text"": ""Damage to an area produces Q waves in the area because of relative damage to the heart and reduction in depolarization voltages in the affected area compared to normal myocardium not affected by the coronary occlusion."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 3}"
67,410,1716,1705,SUPPORTS,SUPPORTS,"they often become less prominent over time (weeks and months), but will generally not resolve completely.","{""evidence_text"": ""they often become less prominent over time (weeks and months), but will generally not resolve completely."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 5}"
67,410,1716,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,"Q waves can develop within the first few minutes/hours of myocardial injury, but usually begin becoming more prominent approximately 12 hours after the initial coronary artery occlusion","{""evidence_text"": ""Q waves can develop within the first few minutes/hours of myocardial injury, but usually begin becoming more prominent approximately 12 hours after the initial coronary artery occlusion"", ""chunk_index"": 1, ""section_title"": ""Q Waves"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
67,408,1716,1701,SUPPORTS,SUPPORTS,"Traditionally, Q waves were thought to develop when irreversible damage to the heart occurred","{""evidence_text"": ""Traditionally, Q waves were thought to develop when irreversible damage to the heart occurred"", ""chunk_index"": 0, ""section_title"": ""Q Waves"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1}"
68,410,1717,1705,SUPPORTS,SUPPORTS,it is important to recognize the limitations of the ECG for identifying myocardial infarction and ischemia by noting that 20% of patients will have a normal ECG...,"{""evidence_text"": ""it is important to recognize the limitations of the ECG for identifying myocardial infarction and ischemia by noting that 20% of patients will have a normal ECG..."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 0}"
69,391,1718,1653,CONNECTED_TO,CONNECTED_TO,ST segment elevation will be observed in V1 with occlusion of the left main artery.,"{""evidence_text"": ""ST segment elevation will be observed in V1 with occlusion of the left main artery."", ""chunk_index"": 1, ""section_title"": ""Left Main"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,410,1718,1705,CONNECTED_TO,CONNECTED_TO,"Lateral wall myocardial infarction is associated with ST segment elevation in leads I, aVL, V5, and V6.","{""evidence_text"": ""Lateral wall myocardial infarction is associated with ST segment elevation in leads I, aVL, V5, and V6."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1, ""merged_from"": 1700}"
69,414,1718,1727,CONNECTED_TO,CONNECTED_TO,"Abnormalities in the ST segment, either elevation or depression, are the most commonly used ECG findings for the diagnosis of ischemia/infarction.","{""evidence_text"": ""Abnormalities in the ST segment, either elevation or depression, are the most commonly used ECG findings for the diagnosis of ischemia/infarction."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,404,1718,1689,CONNECTED_TO,CONNECTED_TO,"Among these, ST segment elevation is of particular clinical importance, as it defines ST elevation myocardial infarction (STEMI).","{""evidence_text"": ""Among these, ST segment elevation is of particular clinical importance, as it defines ST elevation myocardial infarction (STEMI)."", ""chunk_index"": 0, ""section_title"": ""Review"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,400,1718,1679,CONNECTED_TO,CONNECTED_TO,"Lateral wall myocardial infarction is associated with ST segment elevation in leads I, aVL, V5, and V6.","{""evidence_text"": ""Lateral wall myocardial infarction is associated with ST segment elevation in leads I, aVL, V5, and V6."", ""chunk_index"": 0, ""section_title"": ""Infarction Type and ECG Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 1, ""merged_from"": 1700}"
69,415,1718,1730,CONNECTED_TO,CONNECTED_TO,careful review of the ECG with particular attention to the location and magnitude of ST segment elevation and depression can yield important clinical information such as the affected region and the likely site of occlusion.,"{""evidence_text"": ""careful review of the ECG with particular attention to the location and magnitude of ST segment elevation and depression can yield important clinical information such as the affected region and the likely site of occlusion."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 4, ""merged_from"": 1700}"
69,380,1718,1626,CONNECTED_TO,CONNECTED_TO,"ST segment elevation is more prominent in lead II when compared to aVF, since II is oriented at 60° and III is oriented farther away from the lateral wall at 120°.","{""evidence_text"": ""ST segment elevation is more prominent in lead II when compared to aVF, since II is oriented at 60° and III is oriented farther away from the lateral wall at 120°."", ""chunk_index"": 1, ""section_title"": ""Lateral Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2, ""merged_from"": 1700}"
69,375,1718,1611,CONNECTED_TO,CONNECTED_TO,Occlusion of the left anterior descending coronary artery will cause ST segment elevation in the anterior precordial leads.,"{""evidence_text"": ""Occlusion of the left anterior descending coronary artery will cause ST segment elevation in the anterior precordial leads."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,408,1718,1701,CONNECTED_TO,CONNECTED_TO,"ST segment elevation will be observed in the lateral leads (aVL, I, and V6) and the anterior leads because of injury of the anterior and anterolateral walls.","{""evidence_text"": ""ST segment elevation will be observed in the lateral leads (aVL, I, and V6) and the anterior leads because of injury of the anterior and anterolateral walls."", ""chunk_index"": 1, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,417,1718,1736,CONNECTED_TO,CONNECTED_TO,"since ST segment elevation is often present when there is complete occlusion of one of the major branches of the coronary arteries (left anterior descending, circumflex, or right coronary artery).","{""evidence_text"": ""since ST segment elevation is often present when there is complete occlusion of one of the major branches of the coronary arteries (left anterior descending, circumflex, or right coronary artery)."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,395,1718,1666,CONNECTED_TO,CONNECTED_TO,ST segment elevation is an ECG sign of complete coronary artery occlusion and myocardial infarction.,"{""evidence_text"": ""ST segment elevation is an ECG sign of complete coronary artery occlusion and myocardial infarction."", ""chunk_index"": 0, ""section_title"": ""Key Points"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,376,1718,1612,CONNECTED_TO,CONNECTED_TO,The number of leads involved provides a clue for the location of the occlusion and the extent of the myocardium at risk.,"{""evidence_text"": ""The number of leads involved provides a clue for the location of the occlusion and the extent of the myocardium at risk."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,374,1718,1610,CONNECTED_TO,CONNECTED_TO,The presence of ST segment elevation in two adjacent leads is used for the diagnosis of an anterior myocardial infarction.,"{""evidence_text"": ""The presence of ST segment elevation in two adjacent leads is used for the diagnosis of an anterior myocardial infarction."", ""chunk_index"": 0, ""section_title"": ""Anterior Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0, ""merged_from"": 1700}"
69,410,1718,1705,INDICATES,INDICATES,ST-segment elevation is indicative of myocardial infarction.,"{""evidence_text"": ""ST-segment elevation is indicative of myocardial infarction."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1}"
70,409,1719,1704,INDICATES,INDICATES,ST-segment depression is associated with myocardial ischemia.,"{""evidence_text"": ""ST-segment depression is associated with myocardial ischemia."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1}"
71,409,1720,1704,SUPPORTS,SUPPORTS,T-wave inversion can support the diagnosis of myocardial ischemia.,"{""evidence_text"": ""T-wave inversion can support the diagnosis of myocardial ischemia."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1}"
72,410,1721,1705,SUPPORTS,SUPPORTS,Reciprocal changes can support the diagnosis of myocardial infarction.,"{""evidence_text"": ""Reciprocal changes can support the diagnosis of myocardial infarction."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1}"
72,410,1721,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,The presence of reciprocal changes in the setting of localized ST segment elevation is a very specific finding for myocardial infarction (> 90%).,"{""evidence_text"": ""The presence of reciprocal changes in the setting of localized ST segment elevation is a very specific finding for myocardial infarction (> 90%)."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 8}"
72,408,1721,1701,SUPPORTS,SUPPORTS,the importance of reciprocal changes for identifying ST segment changes due to myocardial injury.,"{""evidence_text"": ""the importance of reciprocal changes for identifying ST segment changes due to myocardial injury."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 8}"
73,408,1722,1701,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,Peaked T waves are specific for myocardial injury.,"{""evidence_text"": ""Peaked T waves are specific for myocardial injury."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""paragraph_index"": 1}"
74,408,1723,1701,INDICATES,INDICATES,Coexistence of ST segment elevation and ST segment depression (reciprocal changes) in a 12-lead ECG should always arouse suspicion of myocardial injury.,"{""evidence_text"": ""Coexistence of ST segment elevation and ST segment depression (reciprocal changes) in a 12-lead ECG should always arouse suspicion of myocardial injury."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 9}"
74,372,1723,1604,INDICATES,INDICATES,"Although they are abnormal, inverted T waves, like ST segment depression, are a nonspecific finding for ischemia.","{""evidence_text"": ""Although they are abnormal, inverted T waves, like ST segment depression, are a nonspecific finding for ischemia."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 4}"
74,387,1723,1647,INDICATES,INDICATES,the posterior wall involvement will tend to exaggerate the ST segment depression in the same leads.,"{""evidence_text"": ""the posterior wall involvement will tend to exaggerate the ST segment depression in the same leads."", ""chunk_index"": 1, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
74,410,1723,1705,SUPPORTS,SUPPORTS,"Electrocardiographic findings associated with myocardial infarction encompass a range of abnormalities, including ST segment elevation, ST segment depression, and T wave peaking.","{""evidence_text"": ""Electrocardiographic findings associated with myocardial infarction encompass a range of abnormalities, including ST segment elevation, ST segment depression, and T wave peaking."", ""chunk_index"": 0, ""section_title"": ""Review"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
74,410,1723,1705,IS_SPECIFIC_FOR,IS_SPECIFIC_FOR,Unfortunately isolated ST segment depression without accompanying ST segment elevation is not very specific for identifying acute myocardial infarction.,"{""evidence_text"": ""Unfortunately isolated ST segment depression without accompanying ST segment elevation is not very specific for identifying acute myocardial infarction."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 1}"
74,409,1723,1704,INDICATES,INDICATES,ST segment depression may be due to endocardial ischemia.,"{""evidence_text"": ""ST segment depression may be due to endocardial ischemia."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 1}"
74,414,1723,1727,INDICATES,INDICATES,"Abnormalities in the ST segment, either elevation or depression, are the most commonly used ECG findings for the diagnosis of ischemia/infarction.","{""evidence_text"": ""Abnormalities in the ST segment, either elevation or depression, are the most commonly used ECG findings for the diagnosis of ischemia/infarction."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
74,418,1723,1737,INDICATES,INDICATES,The ECG changes associated with non-STEMI infarctions can be subtle and include ST segment depression and T wave inversion.,"{""evidence_text"": ""The ECG changes associated with non-STEMI infarctions can be subtle and include ST segment depression and T wave inversion."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 0}"
74,408,1723,1701,SUPPORTS,SUPPORTS,"In particular, ST segment depression associated with left ventricular hypertrophy can be difficult to separate from ST segment depression associated with myocardial injury.","{""evidence_text"": ""In particular, ST segment depression associated with left ventricular hypertrophy can be difficult to separate from ST segment depression associated with myocardial injury."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 1}"
75,408,1724,1701,INDICATES,INDICATES,peaked T waves,"{""evidence_text"": ""peaked T waves"", ""chunk_index"": 0, ""section_title"": ""ECG Changes in Acute Myocardial Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 3}"
76,409,1725,1704,SUPPORTS,SUPPORTS,"The presence of symptoms, the presence of T wave inversion in leads other than the inferolateral leads, and dynamic T wave changes should always increase the clinician’s concern that the T wave inversion is due to myocardial ischemia.","{""evidence_text"": ""The presence of symptoms, the presence of T wave inversion in leads other than the inferolateral leads, and dynamic T wave changes should always increase the clinician’s concern that the T wave inversion is due to myocardial ischemia."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 4}"
76,410,1725,1705,SUPPORTS,SUPPORTS,"However, even in the presence of these findings, patients will not always have myocardial infarction/ischemia.","{""evidence_text"": ""However, even in the presence of these findings, patients will not always have myocardial infarction/ischemia."", ""chunk_index"": 0, ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""section_title"": ""T Wave Inversion and ST Segment Depression"", ""paragraph_index"": 4}"
77,409,1726,1704,SUPPORTS,SUPPORTS,These ion concentration changes are responsible for peaked or “hyperacute” T waves that can sometimes be observed during acute myocardial infarction/ischemia.,"{""evidence_text"": ""These ion concentration changes are responsible for peaked or “hyperacute” T waves that can sometimes be observed during acute myocardial infarction/ischemia."", ""chunk_index"": 0, ""section_title"": ""T Wave Peaking"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
77,410,1726,1705,SUPPORTS,SUPPORTS,These ion concentration changes are responsible for peaked or “hyperacute” T waves that can sometimes be observed during acute myocardial infarction/ischemia.,"{""evidence_text"": ""These ion concentration changes are responsible for peaked or “hyperacute” T waves that can sometimes be observed during acute myocardial infarction/ischemia."", ""chunk_index"": 0, ""section_title"": ""T Wave Peaking"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
78,408,1728,1701,INDICATES,INDICATES,the relatively negative surface charge will result in depression of the resting TP segment...,"{""evidence_text"": ""the relatively negative surface charge will result in depression of the resting TP segment..."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 2}"
79,408,1729,1701,SUPPORTS,SUPPORTS,One can think of the changes as 'an early and exaggerated upright T wave.',"{""evidence_text"": ""One can think of the changes as 'an early and exaggerated upright T wave.'"", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 3}"
80,410,1731,1705,SUPPORTS,SUPPORTS,ST depression (reciprocal changes) in leads that are looking at the injured area 'from a distance' through normal tissue.,"{""evidence_text"": ""ST depression (reciprocal changes) in leads that are looking at the injured area 'from a distance' through normal tissue."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 5}"
81,380,1732,1626,INDICATES,INDICATES,"In most cases reciprocal ST segment depression is observed in V1 and V2 in the setting of an inferior wall myocardial infarction, since these leads are looking at the inferior wall through normal tissue.","{""evidence_text"": ""In most cases reciprocal ST segment depression is observed in V1 and V2 in the setting of an inferior wall myocardial infarction, since these leads are looking at the inferior wall through normal tissue."", ""chunk_index"": 0, ""section_title"": ""Right Ventricular Infarction"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 0}"
81,416,1732,1733,INDICATES,INDICATES,reciprocal ST segment depression is seen only in lead aVR in pericarditis.,"{""evidence_text"": ""reciprocal ST segment depression is seen only in lead aVR in pericarditis."", ""chunk_index"": 0, ""section_title"": ""ST Segment Changes"", ""knowledge_source"": ""https://link.springer.com/chapter/10.1007/978-3-030-40341-6_7"", ""paragraph_index"": 8}"
